protocol_id,state,date,url,start_pos,end_pos,is_opener,type,sponsor,topic,notes
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,1,1,1,,,Haushalt,Fortsetzung der 2. Lesung des Gesetzes über die Feststellung des Haushaltsplanes des Landes Brandenburg für die Haushaltsjahre 2005 und 2006 (Haushaltsgesetz 2005/2006 - HG 2005/2006)
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,2,2,0,,,,Einzelpläne einzelner Ministerien. Doch alles Haushalt topic.
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,3,3,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,4,4,1,Einzelplan,,Haushalt,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,5,5,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,6,6,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,7,7,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,8,8,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,50,50,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,74,74,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,107,107,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,140,140,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,149,149,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,151,151,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,183,183,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,185,185,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,218,218,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,219,219,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,220,220,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,221,221,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,222,222,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,223,223,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,224,224,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,225,225,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,226,226,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,227,227,0,,,,
bb_4_14,bb,2005-05-19,https://assets.stateparl.de/protocols/bb_4_14.pdf,228,228,0,,,,
